,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,NOTEBOOK
346,Pontia_occidentalis,Corfu_WA,405,M,U,2.2,0.46,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
347,Pontia_occidentalis,Corfu_WA,406,F,U,2.5,0.82,1993-07-06,1,187,0,NA,NA,Corfu.CutWings.1993_2
348,Pontia_occidentalis,Corfu_WA,407,F,U,2.5,0.84,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
349,Pontia_occidentalis,Corfu_WA,409,F,U,2.5,0.71,1993-07-06,2,187,0,NA,NA,Corfu.CutWings.1993_2
350,Pontia_occidentalis,Corfu_WA,410,F,U,2.5,0.67,1993-07-06,3,187,0,NA,NA,Corfu.CutWings.1993_2
351,Pontia_occidentalis,Corfu_WA,411,M,U,2.6,0.86,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
352,Pontia_occidentalis,Corfu_WA,412,M,U,2.6,0.73,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
353,Pontia_occidentalis,Corfu_WA,413,M,U,2.8,0.73,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
354,Pontia_occidentalis,Corfu_WA,414,F,U,2.6,0.9,1993-07-07,4,188,0,NA,NA,Corfu.CutWings.1993_2
355,Pontia_occidentalis,Corfu_WA,415,M,U,2.4,0.75,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
356,Pontia_occidentalis,Corfu_WA,416,F,U,2.6,0.58,1993-07-07,4,188,0,NA,NA,Corfu.CutWings.1993_2
357,Pontia_occidentalis,Corfu_WA,417,F,U,2.5,0.62,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
358,Pontia_occidentalis,Corfu_WA,418,F,U,2.5,0.75,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
359,Pontia_occidentalis,Corfu_WA,419,M,U,2.4,0.82,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
360,Pontia_occidentalis,Corfu_WA,420,F,U,2.5,0.68,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
361,Pontia_occidentalis,Corfu_WA,421,F,U,2.5,0.75,1993-07-07,1,188,0,NA,NA,Corfu.CutWings.1993_2
362,Pontia_occidentalis,Corfu_WA,422,F,U,2.4,0.65,1993-07-07,4,188,0,NA,NA,Corfu.CutWings.1993_2
363,Pontia_occidentalis,Corfu_WA,423,M,U,2.4,0.57,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
364,Pontia_occidentalis,Corfu_WA,424,F,U,2.6,1.12,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
365,Pontia_occidentalis,Corfu_WA,425,F,U,2.3,0.65,1993-07-07,4,188,0,NA,NA,Corfu.CutWings.1993_2
366,Pontia_occidentalis,Corfu_WA,426,F,U,2.5,0.82,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
367,Pontia_occidentalis,Corfu_WA,427,F,U,2.6,1.25,1993-07-07,4,188,0,NA,NA,Corfu.CutWings.1993_2
368,Pontia_occidentalis,Corfu_WA,428,F,U,2.6,1.01,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
369,Pontia_occidentalis,Corfu_WA,429,F,U,2.5,0.97,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
370,Pontia_occidentalis,Corfu_WA,430,F,U,2.2,0.62,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
371,Pontia_occidentalis,Corfu_WA,431,F,U,2.4,0.67,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
372,Pontia_occidentalis,Corfu_WA,432,F,U,2.5,0.53,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
373,Pontia_occidentalis,Corfu_WA,433,F,U,2.3,0.68,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
374,Pontia_occidentalis,Corfu_WA,434,F,U,2.5,0.8,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
375,Pontia_occidentalis,Corfu_WA,435,M,U,2.3,0.6,1993-07-07,1,188,0,NA,NA,Corfu.CutWings.1993_2
376,Pontia_occidentalis,Corfu_WA,436,F,U,2.6,0.94,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
377,Pontia_occidentalis,Corfu_WA,437,M,U,2.5,0.84,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
378,Pontia_occidentalis,Corfu_WA,438,F,U,2.6,0.92,1993-07-07,4,188,0,NA,NA,Corfu.CutWings.1993_2
379,Pontia_occidentalis,Corfu_WA,439,M,U,2.6,0.95,1993-07-07,1,188,0,NA,NA,Corfu.CutWings.1993_2
380,Pontia_occidentalis,Corfu_WA,440,F,U,2.5,0.92,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
381,Pontia_occidentalis,Corfu_WA,441,M,U,2.5,0.67,1993-07-07,4,188,0,NA,NA,Corfu.CutWings.1993_2
382,Pontia_occidentalis,Corfu_WA,442,F,U,2.3,0.73,1993-07-07,4,188,0,NA,NA,Corfu.CutWings.1993_2
383,Pontia_occidentalis,Corfu_WA,443,F,U,2.6,1.01,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
384,Pontia_occidentalis,Corfu_WA,444,F,U,2.3,0.64,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
385,Pontia_occidentalis,Corfu_WA,445,F,U,2.4,0.68,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
386,Pontia_occidentalis,Corfu_WA,446,F,U,2.4,0.67,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
387,Pontia_occidentalis,Corfu_WA,447,F,U,2.3,0.41,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
388,Pontia_occidentalis,Corfu_WA,448,M,U,2.1,0.45,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
389,Pontia_occidentalis,Corfu_WA,449,F,U,2.6,0.93,1993-07-07,2,188,0,NA,NA,Corfu.CutWings.1993_2
390,Pontia_occidentalis,Corfu_WA,450,F,U,2.6,0.77,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
391,Pontia_occidentalis,Corfu_WA,451,M,U,2.4,0.84,1993-07-07,1,188,0,NA,NA,Corfu.CutWings.1993_2
392,Pontia_occidentalis,Corfu_WA,452,M,U,2.5,0.84,1993-07-07,3,188,0,NA,NA,Corfu.CutWings.1993_2
393,Pontia_occidentalis,Corfu_WA,1025,F,CUT,2.3,0.93,1993-07-05,3,186,0,NA,NA,Corfu.CutWings.1993_2
394,Pontia_occidentalis,Corfu_WA,1,F,CUT,2.2,0.66,1993-07-05,3,187,1,BASK,MM,Corfu.CutWings.1993_2
395,Pontia_occidentalis,Corfu_WA,1,F,CUT,2.2,0.66,1993-07-05,3,187,2,OVI,MM,Corfu.CutWings.1993_2
396,Pontia_occidentalis,Corfu_WA,3,F,CUT,2.2,1.11,1993-07-05,1,187,1,SPOOK,MM,Corfu.CutWings.1993_2
397,Pontia_occidentalis,Corfu_WA,5,M,CUT,2,0.76,1993-07-05,1,187,1,BASK,AM,Corfu.CutWings.1993_2
398,Pontia_occidentalis,Corfu_WA,7,M,CUT,2,0.7,1993-07-05,1,187,1,FLIGHT,AM,Corfu.CutWings.1993_2
