"SPECIES","SITE","ID","SEX","TREAT","REL_DATE","COND_0","CAPTIME_0","BEH_0","FWL","MEL_GRP","FDS","FT","FT6","FM2","FM6","FB","DS","HB","PV","AV","DV","FV","NOTEBOOK","NRECAP","RECAP_DATE"
"Pontia_occidentalis","Corfu_WA",186,"M","NatVar","6/21/89",1,1242,"F",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,174
"Pontia_occidentalis","Corfu_WA",187,"M","NatVar","6/21/89",1,1246,"C",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,173
"Pontia_occidentalis","Corfu_WA",187,"M","NatVar","6/21/89",1,1246,"C",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,176
"Pontia_occidentalis","Corfu_WA",187,"M","NatVar","6/21/89",1,1246,"C",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",3,178
"Pontia_occidentalis","Corfu_WA",184,"M","NatVar","6/21/89",2,1236,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",184,"M","NatVar","6/21/89",2,1236,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,173
"Pontia_occidentalis","Corfu_WA",184,"M","NatVar","6/21/89",2,1236,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",3,175
"Pontia_occidentalis","Corfu_WA",188,"F","NatVar","6/21/89",1,1246,"C",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,174
"Pontia_occidentalis","Corfu_WA",182,"F","NatVar","6/21/89",2,1228,"N",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,173
"Pontia_occidentalis","Corfu_WA",183,"M","NatVar","6/21/89",2,1231,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,173
"Pontia_occidentalis","Corfu_WA",191,"M","NatVar","6/21/89",2,1254,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,174
"Pontia_occidentalis","Corfu_WA",122,"F","NatVar","6/21/89",2,1106,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",126,"M","NatVar","6/21/89",1,1119,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",126,"M","NatVar","6/21/89",1,1119,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,175
"Pontia_occidentalis","Corfu_WA",126,"M","NatVar","6/21/89",1,1119,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",3,177
"Pontia_occidentalis","Corfu_WA",189,"M","NatVar","6/21/89",1,1250,"F",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,174
"Pontia_occidentalis","Corfu_WA",189,"M","NatVar","6/21/89",1,1250,"F",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,175
"Pontia_occidentalis","Corfu_WA",189,"M","NatVar","6/21/89",1,1250,"F",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",3,177
"Pontia_occidentalis","Corfu_WA",133,"F","NatVar","6/21/89",3,1137,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",133,"F","NatVar","6/21/89",3,1137,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,173
"Pontia_occidentalis","Corfu_WA",29,"M","NatVar","6/21/89",2,1112,"F",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,175
"Pontia_occidentalis","Corfu_WA",144,"F","NatVar","6/21/89",1,1205,"R",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,173
"Pontia_occidentalis","Corfu_WA",169,"M","NatVar","6/21/89",1,1300,"R",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,175
"Pontia_occidentalis","Corfu_WA",169,"M","NatVar","6/21/89",1,1300,"R",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,177
"Pontia_occidentalis","Corfu_WA",172,"M","NatVar","6/21/89",2,1400,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",172,"M","NatVar","6/21/89",2,1400,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,173
"Pontia_occidentalis","Corfu_WA",176,"M","NatVar","6/21/89",2,1400,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,174
"Pontia_occidentalis","Corfu_WA",176,"M","NatVar","6/21/89",2,1400,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,175
"Pontia_occidentalis","Corfu_WA",325,"M","NatVar","6/21/89",1,1434,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",323,"M","NatVar","6/21/89",1,1430,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",330,"M","NatVar","6/21/89",1,1450,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,175
"Pontia_occidentalis","Corfu_WA",330,"M","NatVar","6/21/89",1,1450,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,176
"Pontia_occidentalis","Corfu_WA",330,"M","NatVar","6/21/89",1,1450,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",3,177
"Pontia_occidentalis","Corfu_WA",330,"M","NatVar","6/21/89",1,1450,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",4,178
"Pontia_occidentalis","Corfu_WA",322,"M","NatVar","6/21/89",1,1428,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,175
"Pontia_occidentalis","Corfu_WA",329,"F","NatVar","6/21/89",2,1445,"R",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",198,"M","NatVar","6/21/89",1,1405,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",198,"M","NatVar","6/21/89",1,1405,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,173
"Pontia_occidentalis","Corfu_WA",195,"M","NatVar","6/21/89",3,1349,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,174
"Pontia_occidentalis","Corfu_WA",195,"M","NatVar","6/21/89",3,1349,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,176
"Pontia_occidentalis","Corfu_WA",194,"M","NatVar","6/21/89",1,1346,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
