RECNUM,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,WTDBUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,WEAR,NOTEBOOK
530,Pontia_occidentalis,Corfu_WA,178,M,CTL,2.5,77,92,1994-06-09,1,163,8,F,11.73,NA,Corfu.Weighted.1994
531,Pontia_occidentalis,Corfu_WA,178,M,CTL,2.5,77,92,1994-06-09,1,163,9,F,12,NA,Corfu.Weighted.1994
532,Pontia_occidentalis,Corfu_WA,180,M,CTL,2.3,62,55,1994-06-09,1,162,1,F,9.23,NA,Corfu.Weighted.1994
533,Pontia_occidentalis,Corfu_WA,182,M,CTL,2.3,77,73,1994-06-09,2,161,1,N,10.3,NA,Corfu.Weighted.1994
534,Pontia_occidentalis,Corfu_WA,182,M,CTL,2.3,77,73,1994-06-09,2,161,2,F,12.93,NA,Corfu.Weighted.1994
535,Pontia_occidentalis,Corfu_WA,182,M,CTL,2.3,77,73,1994-06-09,2,162,3,F,11,NA,Corfu.Weighted.1994
536,Pontia_occidentalis,Corfu_WA,182,M,CTL,2.3,77,73,1994-06-09,2,163,4,F,11.53,NA,Corfu.Weighted.1994
537,Pontia_occidentalis,Corfu_WA,182,M,CTL,2.3,77,73,1994-06-09,2,163,5,F,12,NA,Corfu.Weighted.1994
538,Pontia_occidentalis,Corfu_WA,186,M,CTL,2.5,71,69,1994-06-09,2,161,1,B,8,NA,Corfu.Weighted.1994
539,Pontia_occidentalis,Corfu_WA,186,M,CTL,2.5,71,69,1994-06-09,2,161,2,N,8,NA,Corfu.Weighted.1994
540,Pontia_occidentalis,Corfu_WA,187,M,WTD,2.6,72,82,1994-06-09,3,161,1,F,8,NA,Corfu.Weighted.1994
541,Pontia_occidentalis,Corfu_WA,188,M,CTL,2.3,49,43,1994-06-09,1,162,1,F,11.15,NA,Corfu.Weighted.1994
542,Pontia_occidentalis,Corfu_WA,188,M,CTL,2.3,49,43,1994-06-09,1,162,2,F,11.42,NA,Corfu.Weighted.1994
543,Pontia_occidentalis,Corfu_WA,189,M,WTD,2.4,73,81,1994-06-09,1,161,1,F,9.67,NA,Corfu.Weighted.1994
544,Pontia_occidentalis,Corfu_WA,194,M,CTL,2.3,67,59,1994-06-09,1,161,1,F,9.77,NA,Corfu.Weighted.1994
545,Pontia_occidentalis,Corfu_WA,194,M,CTL,2.3,67,59,1994-06-09,1,161,2,N,11.67,NA,Corfu.Weighted.1994
546,Pontia_occidentalis,Corfu_WA,197,M,WTD,2.4,71,81,1994-06-09,2,161,1,R,10.42,NA,Corfu.Weighted.1994
547,Pontia_occidentalis,Corfu_WA,199,F,WTD,2.4,64,79,1994-06-10,1,162,1,S,8.27,NA,Corfu.Weighted.1994
548,Pontia_occidentalis,Corfu_WA,199,F,WTD,2.4,64,79,1994-06-10,1,163,2,B,8.27,NA,Corfu.Weighted.1994
549,Pontia_occidentalis,Corfu_WA,200,F,CTL,2.5,91,91,1994-06-10,1,163,1,N,8.3,NA,Corfu.Weighted.1994
550,Pontia_occidentalis,Corfu_WA,201,F,WTD,2.4,59,75,1994-06-10,3,162,1,B,8.53,NA,Corfu.Weighted.1994
551,Pontia_occidentalis,Corfu_WA,204,F,CTL,2.5,108,105,1994-06-10,3,162,1,F,11,NA,Corfu.Weighted.1994
552,Pontia_occidentalis,Corfu_WA,204,F,CTL,2.5,108,105,1994-06-10,3,162,2,N,11.1,NA,Corfu.Weighted.1994
553,Pontia_occidentalis,Corfu_WA,208,F,CTL,2.6,83,80,1994-06-10,1,162,1,R,8.47,NA,Corfu.Weighted.1994
554,Pontia_occidentalis,Corfu_WA,208,F,CTL,2.6,83,80,1994-06-10,1,162,2,F,11.87,NA,Corfu.Weighted.1994
555,Pontia_occidentalis,Corfu_WA,210,F,CTL,2.2,86,84,1994-06-10,3,162,1,S,8.43,NA,Corfu.Weighted.1994
556,Pontia_occidentalis,Corfu_WA,210,F,CTL,2.2,86,84,1994-06-10,3,162,2,N,11,NA,Corfu.Weighted.1994
557,Pontia_occidentalis,Corfu_WA,210,F,CTL,2.2,86,84,1994-06-10,3,162,3,N,11,NA,Corfu.Weighted.1994
558,Pontia_occidentalis,Corfu_WA,210,F,CTL,2.2,86,84,1994-06-10,3,163,4,N,9,NA,Corfu.Weighted.1994
559,Pontia_occidentalis,Corfu_WA,210,F,CTL,2.2,86,84,1994-06-10,3,163,5,F,11.17,NA,Corfu.Weighted.1994
560,Pontia_occidentalis,Corfu_WA,210,F,CTL,2.2,86,84,1994-06-10,3,163,6,N,12,NA,Corfu.Weighted.1994
561,Pontia_occidentalis,Corfu_WA,212,F,CTL,2.3,71,69,1994-06-10,1,162,1,N,8.55,NA,Corfu.Weighted.1994
562,Pontia_occidentalis,Corfu_WA,212,F,CTL,2.3,71,69,1994-06-10,1,162,2,S,9.08,NA,Corfu.Weighted.1994
563,Pontia_occidentalis,Corfu_WA,213,F,WTD,2.6,97,109,1994-06-10,1,163,1,F,11.58,NA,Corfu.Weighted.1994
564,Pontia_occidentalis,Corfu_WA,214,F,CTL,2.4,90,88,1994-06-10,1,162,1,F,8.3,NA,Corfu.Weighted.1994
565,Pontia_occidentalis,Corfu_WA,214,F,CTL,2.4,90,88,1994-06-10,1,163,2,N,11,NA,Corfu.Weighted.1994
566,Pontia_occidentalis,Corfu_WA,218,F,CTL,2.5,99,94,1994-06-10,1,163,1,F,9.87,NA,Corfu.Weighted.1994
567,Pontia_occidentalis,Corfu_WA,226,F,CTL,2.4,82,81,1994-06-10,2,162,1,F,9.6,NA,Corfu.Weighted.1994
568,Pontia_occidentalis,Corfu_WA,226,F,CTL,2.4,82,81,1994-06-10,2,162,2,N,11.03,NA,Corfu.Weighted.1994
569,Pontia_occidentalis,Corfu_WA,226,F,CTL,2.4,82,81,1994-06-10,2,162,3,F,11.78,NA,Corfu.Weighted.1994
570,Pontia_occidentalis,Corfu_WA,227,F,WTD,2.5,95,104,1994-06-10,1,162,1,B,11,NA,Corfu.Weighted.1994
571,Pontia_occidentalis,Corfu_WA,230,F,CTL,2.5,100,97,1994-06-10,4,163,1,F,9,NA,Corfu.Weighted.1994
572,Pontia_occidentalis,Corfu_WA,230,F,CTL,2.5,100,97,1994-06-10,4,163,2,F,11,NA,Corfu.Weighted.1994
573,Pontia_occidentalis,Corfu_WA,230,F,CTL,2.5,100,97,1994-06-10,4,166,3,S,9.93,NA,Corfu.Weighted.1994
574,Pontia_occidentalis,Corfu_WA,230,F,CTL,2.5,100,97,1994-06-10,4,167,4,R,9.93,NA,Corfu.Weighted.1994
575,Pontia_occidentalis,Corfu_WA,231,F,WTD,2.6,88,98,1994-06-10,1,162,1,S,9.43,NA,Corfu.Weighted.1994
576,Pontia_occidentalis,Corfu_WA,232,F,CTL,2.5,85,80,1994-06-10,2,162,1,N,9.57,NA,Corfu.Weighted.1994
577,Pontia_occidentalis,Corfu_WA,236,F,CTL,2.6,106,103,1994-06-10,2,162,1,F,9.27,NA,Corfu.Weighted.1994
578,Pontia_occidentalis,Corfu_WA,237,F,WTD,2.4,59,73,1994-06-10,2,162,1,B,8.25,NA,Corfu.Weighted.1994
579,Pontia_occidentalis,Corfu_WA,237,F,WTD,2.4,59,73,1994-06-10,2,163,2,F,11.42,NA,Corfu.Weighted.1994
580,Pontia_occidentalis,Corfu_WA,238,F,CTL,2.4,78,78,1994-06-10,2,166,1,N,14.17,NA,Corfu.Weighted.1994
581,Pontia_occidentalis,Corfu_WA,240,F,CTL,2.4,105,100,1994-06-10,1,162,1,B,9.12,NA,Corfu.Weighted.1994
582,Pontia_occidentalis,Corfu_WA,240,F,CTL,2.4,105,100,1994-06-10,1,162,2,F,9.88,NA,Corfu.Weighted.1994
583,Pontia_occidentalis,Corfu_WA,240,F,CTL,2.4,105,100,1994-06-10,1,162,3,F,11.38,NA,Corfu.Weighted.1994
584,Pontia_occidentalis,Corfu_WA,240,F,CTL,2.4,105,100,1994-06-10,1,162,4,F,11.93,NA,Corfu.Weighted.1994
585,Pontia_occidentalis,Corfu_WA,242,F,CTL,2.6,85,34,1994-06-10,1,162,1,S,8.82,NA,Corfu.Weighted.1994
586,Pontia_occidentalis,Corfu_WA,247,F,WTD,2.6,125,134,1994-06-10,1,162,1,N,9,NA,Corfu.Weighted.1994
587,Pontia_occidentalis,Corfu_WA,248,F,CTL,2.4,74,76,1994-06-10,1,162,1,B,9.58,NA,Corfu.Weighted.1994
588,Pontia_occidentalis,Corfu_WA,248,F,CTL,2.4,74,76,1994-06-10,1,162,2,N,11,NA,Corfu.Weighted.1994
589,Pontia_occidentalis,Corfu_WA,250,F,CTL,2.3,75,72,1994-06-10,3,162,1,B,8.88,NA,Corfu.Weighted.1994
590,Pontia_occidentalis,Corfu_WA,253,F,WTD,2.4,84,93,1994-06-10,3,162,1,B,9.67,NA,Corfu.Weighted.1994
591,Pontia_occidentalis,Corfu_WA,258,F,CTL,2.4,88,35,1994-06-10,3,162,1,N,11.53,NA,Corfu.Weighted.1994
592,Pontia_occidentalis,Corfu_WA,258,F,CTL,2.4,88,35,1994-06-10,3,163,2,F,11.03,NA,Corfu.Weighted.1994
593,Pontia_occidentalis,Corfu_WA,258,F,CTL,2.4,88,35,1994-06-10,3,164,3,F,9.43,NA,Corfu.Weighted.1994
594,Pontia_occidentalis,Corfu_WA,258,F,CTL,2.4,88,35,1994-06-10,3,166,4,N,9.28,NA,Corfu.Weighted.1994
595,Pontia_occidentalis,Corfu_WA,258,F,CTL,2.4,88,35,1994-06-10,3,167,5,R,8.6,NA,Corfu.Weighted.1994
596,Pontia_occidentalis,Corfu_WA,259,F,WTD,2.5,72,82,1994-06-10,1,162,1,B,8.45,NA,Corfu.Weighted.1994
597,Pontia_occidentalis,Corfu_WA,259,F,WTD,2.5,72,82,1994-06-10,1,162,2,S,9.92,NA,Corfu.Weighted.1994
598,Pontia_occidentalis,Corfu_WA,261,F,WTD,2.5,95,101,1994-06-10,4,162,1,F,11,NA,Corfu.Weighted.1994
599,Pontia_occidentalis,Corfu_WA,262,M,CTL,2.6,85,82,1994-06-10,1,162,1,F,9.73,NA,Corfu.Weighted.1994
600,Pontia_occidentalis,Corfu_WA,263,M,WTD,2.4,65,81,1994-06-10,1,162,1,F,11.9,NA,Corfu.Weighted.1994
601,Pontia_occidentalis,Corfu_WA,264,M,CTL,2.3,73,69,1994-06-10,3,162,1,N,11.07,NA,Corfu.Weighted.1994
602,Pontia_occidentalis,Corfu_WA,267,M,WTD,2.5,108,116,1994-06-10,1,162,1,R,10.27,NA,Corfu.Weighted.1994
603,Pontia_occidentalis,Corfu_WA,267,M,WTD,2.5,108,116,1994-06-10,1,162,2,B,11.75,NA,Corfu.Weighted.1994
604,Pontia_occidentalis,Corfu_WA,268,M,CTL,2.6,91,88,1994-06-10,1,162,1,F,9.05,NA,Corfu.Weighted.1994
605,Pontia_occidentalis,Corfu_WA,269,M,WTD,2.3,75,82,1994-06-10,1,162,1,B,8.52,NA,Corfu.Weighted.1994
606,Pontia_occidentalis,Corfu_WA,269,M,WTD,2.3,75,82,1994-06-10,1,162,2,B,8.58,NA,Corfu.Weighted.1994
607,Pontia_occidentalis,Corfu_WA,269,M,WTD,2.3,75,82,1994-06-10,1,162,3,B,9.05,NA,Corfu.Weighted.1994
608,Pontia_occidentalis,Corfu_WA,270,M,CTL,2.3,66,60,1994-06-10,1,163,1,N,11,NA,Corfu.Weighted.1994
609,Pontia_occidentalis,Corfu_WA,271,M,WTD,2.3,54,64,1994-06-10,2,162,1,N,11.1,NA,Corfu.Weighted.1994
610,Pontia_occidentalis,Corfu_WA,271,M,WTD,2.3,54,64,1994-06-10,2,162,2,S,11.67,NA,Corfu.Weighted.1994
611,Pontia_occidentalis,Corfu_WA,272,M,CTL,2.4,65,60,1994-06-10,2,162,1,F,9.97,NA,Corfu.Weighted.1994
612,Pontia_occidentalis,Corfu_WA,276,M,CTL,2.3,91,89,1994-06-10,2,162,1,B,8.75,NA,Corfu.Weighted.1994
613,Pontia_occidentalis,Corfu_WA,276,M,CTL,2.3,91,89,1994-06-10,2,162,2,F,11,NA,Corfu.Weighted.1994
614,Pontia_occidentalis,Corfu_WA,277,M,WTD,2.4,54,65,1994-06-10,1,163,1,B,8.22,NA,Corfu.Weighted.1994
615,Pontia_occidentalis,Corfu_WA,277,M,WTD,2.4,54,65,1994-06-10,1,163,2,N,9,NA,Corfu.Weighted.1994
616,Pontia_occidentalis,Corfu_WA,279,M,WTD,2.3,67,78,1994-06-10,1,162,1,B,8.63,NA,Corfu.Weighted.1994
617,Pontia_occidentalis,Corfu_WA,279,M,WTD,2.3,67,78,1994-06-10,1,162,2,F,9.15,NA,Corfu.Weighted.1994
618,Pontia_occidentalis,Corfu_WA,280,M,CTL,2.3,73,68,1994-06-10,2,163,1,F,8.87,NA,Corfu.Weighted.1994
619,Pontia_occidentalis,Corfu_WA,280,M,CTL,2.3,73,68,1994-06-10,2,163,2,N,9.38,NA,Corfu.Weighted.1994
620,Pontia_occidentalis,Corfu_WA,280,M,CTL,2.3,73,68,1994-06-10,2,163,3,F,11,NA,Corfu.Weighted.1994
621,Pontia_occidentalis,Corfu_WA,282,M,CTL,2.3,67,68,1994-06-10,1,162,1,B,8.5,NA,Corfu.Weighted.1994
622,Pontia_occidentalis,Corfu_WA,282,M,CTL,2.3,67,68,1994-06-10,1,162,2,B,8.77,NA,Corfu.Weighted.1994
623,Pontia_occidentalis,Corfu_WA,282,M,CTL,2.3,67,68,1994-06-10,1,162,3,B,8.87,NA,Corfu.Weighted.1994
624,Pontia_occidentalis,Corfu_WA,287,M,WTD,2.4,61,68,1994-06-10,1,163,1,N,11,NA,Corfu.Weighted.1994
625,Pontia_occidentalis,Corfu_WA,288,M,CTL,2.4,67,63,1994-06-10,1,167,1,B,8.63,NA,Corfu.Weighted.1994
626,Pontia_occidentalis,Corfu_WA,289,M,WTD,2.2,70,80,1994-06-10,1,162,1,B,8.47,NA,Corfu.Weighted.1994
627,Pontia_occidentalis,Corfu_WA,289,M,WTD,2.2,70,80,1994-06-10,1,162,2,B,9.55,NA,Corfu.Weighted.1994
628,Pontia_occidentalis,Corfu_WA,289,M,WTD,2.2,70,80,1994-06-10,1,162,3,R,9.95,NA,Corfu.Weighted.1994
629,Pontia_occidentalis,Corfu_WA,290,M,CTL,2.4,72,69,1994-06-10,2,162,1,B,8.28,NA,Corfu.Weighted.1994
630,Pontia_occidentalis,Corfu_WA,290,M,CTL,2.4,72,69,1994-06-10,2,162,2,N,8.9,NA,Corfu.Weighted.1994
631,Pontia_occidentalis,Corfu_WA,291,M,WTD,2.3,73,77,1994-06-10,2,162,1,B,9.8,NA,Corfu.Weighted.1994
632,Pontia_occidentalis,Corfu_WA,291,M,WTD,2.3,73,77,1994-06-10,2,162,2,F,11.5,NA,Corfu.Weighted.1994
633,Pontia_occidentalis,Corfu_WA,293,M,WTD,2.4,56,68,1994-06-10,1,162,1,B,9.72,NA,Corfu.Weighted.1994
634,Pontia_occidentalis,Corfu_WA,296,M,CTL,2.6,80,76,1994-06-10,2,162,1,N,10.12,NA,Corfu.Weighted.1994
635,Pontia_occidentalis,Corfu_WA,296,M,CTL,2.6,80,76,1994-06-10,2,162,2,N,11,NA,Corfu.Weighted.1994
636,Pontia_occidentalis,Corfu_WA,298,M,CTL,2.5,75,72,1994-06-10,2,162,1,B,9.98,NA,Corfu.Weighted.1994
637,Pontia_occidentalis,Corfu_WA,301,M,WTD,2.4,68,77,1994-06-10,1,162,1,B,9.38,NA,Corfu.Weighted.1994
638,Pontia_occidentalis,Corfu_WA,307,M,WTD,2.3,63,70,1994-06-10,1,162,1,B,8.37,NA,Corfu.Weighted.1994
639,Pontia_occidentalis,Corfu_WA,310,M,CTL,2.4,78,73,1994-06-10,2,162,1,B,8.48,NA,Corfu.Weighted.1994
640,Pontia_occidentalis,Corfu_WA,310,M,CTL,2.4,78,73,1994-06-10,2,162,2,B,8.53,NA,Corfu.Weighted.1994
641,Pontia_occidentalis,Corfu_WA,310,M,CTL,2.4,78,73,1994-06-10,2,162,3,S,8.57,NA,Corfu.Weighted.1994
642,Pontia_occidentalis,Corfu_WA,310,M,CTL,2.4,78,73,1994-06-10,2,162,4,B,9.6,NA,Corfu.Weighted.1994
