RECNUM,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,WTDBUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,WEAR,NOTEBOOK
80,Pontia_occidentalis,Corfu_WA,84,M,CTL,2.4,98,91,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
81,Pontia_occidentalis,Corfu_WA,85,F,WTD,2.5,123,135,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
82,Pontia_occidentalis,Corfu_WA,86,F,CTL,2.5,96,94,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
83,Pontia_occidentalis,Corfu_WA,87,F,WTD,2.5,133,141,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
84,Pontia_occidentalis,Corfu_WA,88,F,CTL,2.4,94,92,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
85,Pontia_occidentalis,Corfu_WA,89,F,WTD,2.4,77,89,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
86,Pontia_occidentalis,Corfu_WA,90,F,CTL,2.6,136,131,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
87,Pontia_occidentalis,Corfu_WA,91,F,WTD,2.6,111,117,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
88,Pontia_occidentalis,Corfu_WA,92,F,CTL,2.5,132,121,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
89,Pontia_occidentalis,Corfu_WA,93,F,WTD,2.7,118,128,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
90,Pontia_occidentalis,Corfu_WA,94,F,CTL,2.6,125,117,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
91,Pontia_occidentalis,Corfu_WA,95,F,WTD,2.5,96,104,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
92,Pontia_occidentalis,Corfu_WA,96,F,CTL,2.6,81,78,1995-05-15,3,135,0,NA,NA,NA,Corfu.Weighted.1995
93,Pontia_occidentalis,Corfu_WA,97,F,WTD,2.6,114,116,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
94,Pontia_occidentalis,Corfu_WA,99,M,WTD,2.5,81,87,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
95,Pontia_occidentalis,Corfu_WA,100,M,CTL,2.5,75,73,1995-05-16,4,136,0,NA,NA,NA,Corfu.Weighted.1995
96,Pontia_occidentalis,Corfu_WA,101,M,WTD,2.4,66,78,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
97,Pontia_occidentalis,Corfu_WA,102,M,CTL,2.5,82,75,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
98,Pontia_occidentalis,Corfu_WA,103,M,WTD,2.5,65,71,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
99,Pontia_occidentalis,Corfu_WA,104,M,CTL,2.4,64,59,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
100,Pontia_occidentalis,Corfu_WA,105,M,WTD,2.4,68,72,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
101,Pontia_occidentalis,Corfu_WA,106,M,CTL,2.4,70,64,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
102,Pontia_occidentalis,Corfu_WA,107,M,WTD,2.3,54,63,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
103,Pontia_occidentalis,Corfu_WA,108,M,CTL,2.4,73,65,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
104,Pontia_occidentalis,Corfu_WA,109,M,WTD,2.5,82,90,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
105,Pontia_occidentalis,Corfu_WA,110,F,CTL,2.6,117,111,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
106,Pontia_occidentalis,Corfu_WA,111,M,WTD,2.4,78,84,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
107,Pontia_occidentalis,Corfu_WA,113,M,WTD,2.4,81,89,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
108,Pontia_occidentalis,Corfu_WA,114,M,CTL,2.3,64,59,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
109,Pontia_occidentalis,Corfu_WA,115,M,WTD,2.4,85,91,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
110,Pontia_occidentalis,Corfu_WA,116,M,CTL,2.4,84,76,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
111,Pontia_occidentalis,Corfu_WA,117,M,WTD,2.3,53,65,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
112,Pontia_occidentalis,Corfu_WA,118,M,CTL,2.5,74,67,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
113,Pontia_occidentalis,Corfu_WA,119,M,WTD,2.5,85,90,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
114,Pontia_occidentalis,Corfu_WA,120,M,CTL,2.4,77,74,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
115,Pontia_occidentalis,Corfu_WA,121,M,WTD,2.5,79,90,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
116,Pontia_occidentalis,Corfu_WA,122,M,CTL,2.3,73,69,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
117,Pontia_occidentalis,Corfu_WA,123,M,WTD,2.4,66,73,1995-05-16,3,136,0,NA,NA,NA,Corfu.Weighted.1995
118,Pontia_occidentalis,Corfu_WA,124,M,CTL,2.5,81,76,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
119,Pontia_occidentalis,Corfu_WA,125,M,WTD,2.4,66,79,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
120,Pontia_occidentalis,Corfu_WA,126,M,CTL,2.4,61,60,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
121,Pontia_occidentalis,Corfu_WA,127,M,WTD,2.7,83,89,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
122,Pontia_occidentalis,Corfu_WA,128,M,CTL,2.4,65,61,1995-05-16,2,136,0,NA,NA,NA,Corfu.Weighted.1995
123,Pontia_occidentalis,Corfu_WA,129,M,WTD,2.4,58,71,1995-05-16,2,136,0,NA,NA,NA,Corfu.Weighted.1995
124,Pontia_occidentalis,Corfu_WA,130,M,CTL,2.4,80,74,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
125,Pontia_occidentalis,Corfu_WA,131,M,WTD,2.3,66,66,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
126,Pontia_occidentalis,Corfu_WA,132,M,CTL,2.4,65,62,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
127,Pontia_occidentalis,Corfu_WA,133,M,WTD,2.5,90,96,1995-05-16,3,136,0,NA,NA,NA,Corfu.Weighted.1995
128,Pontia_occidentalis,Corfu_WA,134,M,CTL,2.4,90,81,1995-05-16,2,136,0,NA,NA,NA,Corfu.Weighted.1995
129,Pontia_occidentalis,Corfu_WA,135,M,WTD,2.4,61,68,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
130,Pontia_occidentalis,Corfu_WA,136,M,CTL,2.4,91,83,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
131,Pontia_occidentalis,Corfu_WA,137,M,WTD,2.3,71,83,1995-05-16,3,136,0,NA,NA,NA,Corfu.Weighted.1995
132,Pontia_occidentalis,Corfu_WA,138,M,CTL,2.5,77,69,1995-05-16,3,136,0,NA,NA,NA,Corfu.Weighted.1995
133,Pontia_occidentalis,Corfu_WA,139,M,WTD,2.4,67,77,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
134,Pontia_occidentalis,Corfu_WA,140,M,CTL,2.5,79,73,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
135,Pontia_occidentalis,Corfu_WA,141,M,WTD,2.4,75,80,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
