"","SPECIES","SITE","ID","SEX","TREAT","FWL","REL_DATE","COND_0","RECAP_DATE","NRECAP","BEH","TIME","NOTEBOOK"
"74","Pontia_occidentalis","Corfu_WA",537,"F","B",2.5,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"75","Pontia_occidentalis","Corfu_WA",543,"M","B",2.1,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"76","Pontia_occidentalis","Corfu_WA",517,"F","B",2.4,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"77","Pontia_occidentalis","Corfu_WA",539,"F","B",2.5,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"78","Pontia_occidentalis","Corfu_WA",599,"F","B",2.6,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"79","Pontia_occidentalis","Corfu_WA",555,"F","B",2.6,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"80","Pontia_occidentalis","Corfu_WA",587,"M","B",2.7,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"81","Pontia_occidentalis","Corfu_WA",617,"M","B",2.6,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"82","Pontia_occidentalis","Corfu_WA",603,"M","B",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"83","Pontia_occidentalis","Corfu_WA",525,"F","B",2.3,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"84","Pontia_occidentalis","Corfu_WA",637,"F","B",2.6,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"85","Pontia_occidentalis","Corfu_WA",547,"F","B",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"86","Pontia_occidentalis","Corfu_WA",575,"F","B",2.5,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"87","Pontia_occidentalis","Corfu_WA",583,"F","B",2.3,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"88","Pontia_occidentalis","Corfu_WA",577,"F","B",2.5,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"89","Pontia_occidentalis","Corfu_WA",595,"F","B",2.4,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"90","Pontia_occidentalis","Corfu_WA",611,"F","B",2.5,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"91","Pontia_occidentalis","Corfu_WA",561,"F","B",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"92","Pontia_occidentalis","Corfu_WA",541,"F","B",2.6,1993-07-08,"4 F.M.","189",0,NA,NA,"Corfu.BY.1993_2"
"93","Pontia_occidentalis","Corfu_WA",563,"F","B",2.4,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"94","Pontia_occidentalis","Corfu_WA",593,"F","B",2.2,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"95","Pontia_occidentalis","Corfu_WA",565,"F","B",2.3,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"96","Pontia_occidentalis","Corfu_WA",559,"F","B",2.6,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"97","Pontia_occidentalis","Corfu_WA",597,"F","B",2.5,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"98","Pontia_occidentalis","Corfu_WA",535,"M","B",2.5,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"99","Pontia_occidentalis","Corfu_WA",607,"F","B",2.6,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"100","Pontia_occidentalis","Corfu_WA",527,"F","B",2.3,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"101","Pontia_occidentalis","Corfu_WA",629,"M","B",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"102","Pontia_occidentalis","Corfu_WA",621,"","",NA,1993-07-08,"","189",0,NA,NA,"Corfu.BY.1993_2"
"103","Pontia_occidentalis","Corfu_WA",549,"M","B",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"104","Pontia_occidentalis","Corfu_WA",571,"M","B",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"105","Pontia_occidentalis","Corfu_WA",639,"M","B",2.3,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"106","Pontia_occidentalis","Corfu_WA",623,"F","B",2.6,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"107","Pontia_occidentalis","Corfu_WA",519,"F","B",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"108","Pontia_occidentalis","Corfu_WA",585,"F","B",2.7,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"109","Pontia_occidentalis","Corfu_WA",601,"F","B",2.6,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"110","Pontia_occidentalis","Corfu_WA",627,"M","B",2.5,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"111","Pontia_occidentalis","Corfu_WA",515,"M","B",2.5,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"112","Pontia_occidentalis","Corfu_WA",567,"M","B",2.5,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"113","Pontia_occidentalis","Corfu_WA",589,"M","B",2.3,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"114","Pontia_occidentalis","Corfu_WA",513,"F","B",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"115","Pontia_occidentalis","Corfu_WA",625,"M","B",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"116","Pontia_occidentalis","Corfu_WA",557,"F","B",2.7,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"117","Pontia_occidentalis","Corfu_WA",523,"F","B",2.7,1993-07-08,"4","189",0,NA,NA,"Corfu.BY.1993_2"
