STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN,TOBS
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/6/91,66,42,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/7/91,60,46,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/8/91,58,34,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/9/91,54,40,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/10/91,66,46,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/11/91,65,48,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/12/91,66,42,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/13/91,70,38,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/14/91,,,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/15/91,,,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/16/91,,,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/17/91,,,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/18/91,,,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/19/91,,,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/20/91,70,47,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/21/91,74,44,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/22/91,72,42,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/23/91,70,47,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/24/91,70,39,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/25/91,64,38,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/26/91,68,48,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/27/91,75,38,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/28/91,70,50,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/29/91,72,44,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/30/91,74,50,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,5/31/91,82,52,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/1/91,82,48,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/2/91,82,46,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/3/91,83,48,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/4/91,68,37,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/5/91,70,52,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/6/91,59,48,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/7/91,69,50,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/8/91,74,48,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/9/91,75,51,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/10/91,80,55,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/11/91,87,60,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/12/91,70,43,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/13/91,66,45,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/14/91,64,38,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/15/91,68,45,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/16/91,71,47,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/17/91,69,39,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/18/91,70,44,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/19/91,74,49,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/20/91,70,52,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/21/91,61,48,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/22/91,72,50,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/23/91,75,53,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/24/91,76,44,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/25/91,75,52,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/26/91,76,50,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/27/91,75,51,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/28/91,83,48,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/29/91,86,56,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,6/30/91,73,52,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,7/1/91,78,54,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,7/2/91,83,59,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,7/3/91,92,60,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,7/4/91,94,57,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,7/5/91,89,51,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,7/6/91,85,47,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,7/7/91,79,50,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,7/8/91,83,55,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,7/9/91,88,56,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,7/10/91,85,50,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,7/11/91,82,51,
