"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-09","52","39",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-10","51","28",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-11","52","31",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-12","65","35",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-13","66","34",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-14","68","38",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-15","62","37",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-16","59","42",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-17","63","36",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-18","63","39",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-19","68","35",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-20","71","40",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-21","74","43",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-22","76","43",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-23","74","41",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-24","70","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-25","62","32",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-26","60","32",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-27","58","36",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-28","62","32",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-29","62","42",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-04-30","63","41",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-01","62","40",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-02","56","45",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-03","65","43",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-04","70","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-05","68","44",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-06","66","42",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-07","60","46",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-08","58","34",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-09","54","40",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-10","66","46",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-11","65","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-12","66","42",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-13","70","38",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-14",,,
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-15",,,
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-16",,,
